id,canonical_name,developer,technology,status,mw_peak,mw_nominal,hectares,turbines,first_seen,last_seen,municipalities,ine_codes,provinces,document_urls
69,"Planta solar fotovoltaica ""Oleo Solar""","Desarrollos Ibéricos Fotovoltaicos 51, SLU",solar_fv,favorable_condicionada,80.3,80.3,366.92,,2026-04-13,2026-04-13,Cabra,14013,Córdoba,https://www.boe.es/diario_boe/xml.php?id=BOE-A-2026-8203
72,Parque Solar Fotovoltaico «El Chorrillo Solar»,"RP Energía Cuatro, S.L.",solar_fv,favorable_condicionada,6.931,,,,2026-03-31,2026-03-31,Carmona; Mairena del Alcor,41024;41058,Sevilla,https://juntadeandalucia.es/eboja/2026/62/BOJA26-062-00001-4142-01_00335364.pdf
73,Instalación Planta Solar Fotovoltaica Marchenilla VII,"Retiro Energía 5, S.L.U.",solar_fv,favorable_condicionada,50.0,41.0,,,2022-12-30,2024-10-16,Jimena de la Frontera; San Martín del Tesorillo,11021;11903,Cádiz,https://juntadeandalucia.es/eboja/2022/249/BOJA22-249-00001-18444-01_00271671.pdf https://juntadeandalucia.es/eboja/2022/249/BOJA22-249-00001-20769-01_00274003.pdf https://juntadeandalucia.es/eboja/2023/18/BOJA23-018-00001-1207-01_00276296.pdf https://juntadeandalucia.es/eboja/2024/171/BOJA24-171-00001-49901-01_00306851.pdf https://juntadeandalucia.es/eboja/2024/202/BOJA24-202-00001-51962-01_00308911.pdf https://juntadeandalucia.es/eboja/2024/52/BOJA24-052-00001-1783-01_00298528.pdf https://juntadeandalucia.es/eboja/2024/91/BOJA24-091-00001-44612-01_00301562.pdf
75,Planta solar fotovoltaica hibridación «El Saucito»,"Iberdrola Renovables Andalucía, S.A.U.",solar_fv,desconocido,30.0,30.25,,,2022-12-30,2022-12-30,Alosno,21006,Huelva,https://juntadeandalucia.es/eboja/2022/249/BOJA22-249-00001-19700-01_00272939.pdf
76,"Planta solar fotovoltaica Patria I de 48,66 MW e infraestructura de evacuación","Iberian Retail Bernesga, S.L.",solar_fv,favorable_condicionada,48.66,48.66,,,2022-11-30,2022-12-14,Vejer de la Frontera,11039,Cádiz,https://juntadeandalucia.es/eboja/2022/230/BOJA22-230-00001-19073-01_00272296.pdf https://juntadeandalucia.es/eboja/2022/238/BOJA22-238-00001-20362-01_00273538.pdf
77,P.S.F.V. Santo Domingo I y II,"Luxida Solar, S.L.",solar_fv,favorable_condicionada,,,,,2024-09-30,2024-09-30,Jerez de la Frontera,11020,Cádiz,https://juntadeandalucia.es/eboja/2024/190/BOJA24-190-00001-47464-01_00304414.pdf
79,PE HIB Cespedera,"Energias Renovables Cespedera, S.L.",hibrida,favorable_condicionada,,,,,2023-03-14,2026-06-30,Alcalá de los Gazules; Medina Sidonia,11001;11023,Cádiz,https://juntadeandalucia.es/eboja/2023/49/BOJA23-049-00001-2458-01_00277560.pdf https://juntadeandalucia.es/eboja/2026/124/BOJA26-124-00001-8704-01_00339936.pdf
82,Planta solar agrofotovoltaica Chiclana Sol,"Calvitero Solar 11, S.L.",solar_fv,favorable_condicionada,8.5,8.5,,,2022-12-22,2026-04-30,Chiclana de la Frontera,11015,Cádiz,https://juntadeandalucia.es/eboja/2022/244/BOJA22-244-00001-20342-01_00273575.pdf https://juntadeandalucia.es/eboja/2024/218/BOJA24-218-00001-51729-01_00308679.pdf https://juntadeandalucia.es/eboja/2026/6/BOJA26-006-00001-72-01_00331299.pdf https://juntadeandalucia.es/eboja/2026/8/BOJA26-008-00001-192-01_00331419.pdf https://juntadeandalucia.es/eboja/2026/82/BOJA26-082-00001-5076-01_00336313.pdf
83,Envatios I,"Envatios Promoción I, S.L.",solar_fv,favorable_condicionada,43.33,,78.26,,2023-03-30,2023-03-30,Carmona,41024,Sevilla,https://juntadeandalucia.es/eboja/2023/61/BOJA23-061-00001-2442-01_00277533.pdf
84,Envatios III,"Envatios Promoción III, S.L.",solar_fv,favorable_condicionada,43.33,,99.8737,,2023-03-30,2023-03-30,Carmona,41024,Sevilla,https://juntadeandalucia.es/eboja/2023/61/BOJA23-061-00001-2517-01_00277674.pdf
85,Envatios II,"Envatios Promoción II, S.L.",solar_fv,favorable_condicionada,43.33,43.33,115.5711,,2023-03-30,2023-03-30,Carmona,41024,Sevilla,https://juntadeandalucia.es/eboja/2023/61/BOJA23-061-00001-2519-01_00277676.pdf
